Rock;(0, 0)
Tree;(0, 1)
Tree;(0, 2)
Tree;(0, 3)
Tree;(0, 4)
Tree;(0, 5)
Tree;(0, 6)
Herb;(0, 7)
Tree;(0, 8)
Tree;(0, 9)
Water;(0, 10)
Water;(0, 11)
Water;(0, 12)
Water;(0, 13)
Water;(0, 14)
Water;(0, 15)
Water;(0, 16)
Herb;(0, 17)
Herb;(0, 18)
Herb;(0, 19)
Herb;(0, 20)
Herb;(0, 21)
Tree;(0, 22)
Tree;(0, 23)
Tree;(0, 24)
Tree;(0, 25)
Tree;(0, 26)
Tree;(0, 27)
Tree;(0, 28)
Tree;(0, 29)
Tree;(0, 30)
Tree;(0, 31)
Tree;(0, 32)
Tree;(0, 33)
Tree;(0, 34)
Tree;(0, 35)
Herb;(0, 36)
Herb;(0, 37)
Herb;(0, 38)
Herb;(0, 39)
Tree;(1, 0)
Tree;(1, 1)
Tree;(1, 2)
Tree;(1, 3)
Tree;(1, 4)
Tree;(1, 5)
Tree;(1, 6)
Tree;(1, 7)
Tree;(1, 8)
Tree;(1, 9)
Tree;(1, 10)
Water;(1, 11)
Water;(1, 12)
Water;(1, 13)
Water;(1, 14)
Water;(1, 15)
Water;(1, 16)
Water;(1, 17)
Water;(1, 18)
Water;(1, 19)
Water;(1, 20)
Herb;(1, 21)
Herb;(1, 22)
Tree;(1, 23)
Tree;(1, 24)
Tree;(1, 25)
Tree;(1, 26)
Tree;(1, 27)
Tree;(1, 28)
Tree;(1, 29)
Herb;(1, 30)
Tree;(1, 31)
Tree;(1, 32)
Tree;(1, 33)
Tree;(1, 34)
Tree;(1, 35)
Tree;(1, 36)
Herb;(1, 37)
Herb;(1, 38)
Herb;(1, 39)
Tree;(2, 0)
Tree;(2, 1)
Tree;(2, 2)
Tree;(2, 3)
Tree;(2, 4)
Tree;(2, 5)
Tree;(2, 6)
Tree;(2, 7)
Tree;(2, 8)
Tree;(2, 9)
Tree;(2, 10)
Tree;(2, 11)
Water;(2, 12)
Water;(2, 13)
Water;(2, 14)
Water;(2, 15)
Water;(2, 16)
Water;(2, 17)
Water;(2, 18)
Water;(2, 19)
Water;(2, 20)
Herb;(2, 21)
Tree;(2, 22)
Tree;(2, 23)
Tree;(2, 24)
Tree;(2, 25)
Tree;(2, 26)
Tree;(2, 27)
Tree;(2, 28)
Tree;(2, 29)
Tree;(2, 30)
Tree;(2, 31)
Tree;(2, 32)
Tree;(2, 33)
Tree;(2, 34)
Tree;(2, 35)
Tree;(2, 36)
Tree;(2, 37)
Herb;(2, 38)
Herb;(2, 39)
Tree;(3, 0)
Tree;(3, 1)
Tree;(3, 2)
Tree;(3, 3)
Tree;(3, 4)
Tree;(3, 5)
Tree;(3, 6)
Tree;(3, 7)
Tree;(3, 8)
Tree;(3, 9)
Tree;(3, 10)
Tree;(3, 11)
Tree;(3, 12)
Tree;(3, 13)
Tree;(3, 14)
Tree;(3, 15)
Water;(3, 16)
Water;(3, 17)
Water;(3, 18)
Water;(3, 19)
Water;(3, 20)
Water;(3, 21)
Herb;(3, 22)
Tree;(3, 23)
Tree;(3, 24)
Tree;(3, 25)
Tree;(3, 26)
Tree;(3, 27)
Tree;(3, 28)
Tree;(3, 29)
Tree;(3, 30)
Tree;(3, 31)
Tree;(3, 32)
Tree;(3, 33)
Tree;(3, 34)
Tree;(3, 35)
Tree;(3, 36)
Tree;(3, 37)
Tree;(3, 38)
Herb;(3, 39)
Tree;(4, 0)
Tree;(4, 1)
Tree;(4, 2)
Tree;(4, 3)
Herb;(4, 4)
Herb;(4, 5)
Herb;(4, 6)
Herb;(4, 7)
Herb;(4, 8)
Herb;(4, 9)
Herb;(4, 10)
Herb;(4, 11)
Herb;(4, 12)
Herb;(4, 13)
Herb;(4, 14)
Herb;(4, 15)
Herb;(4, 16)
Herb;(4, 17)
Water;(4, 18)
Water;(4, 19)
Water;(4, 20)
Water;(4, 21)
Water;(4, 22)
Herb;(4, 23)
Herb;(4, 24)
Herb;(4, 25)
Herb;(4, 26)
Herb;(4, 27)
Herb;(4, 28)
Herb;(4, 29)
Herb;(4, 30)
Herb;(4, 31)
Tree;(4, 32)
Tree;(4, 33)
Tree;(4, 34)
Tree;(4, 35)
Tree;(4, 36)
Tree;(4, 37)
Tree;(4, 38)
Herb;(4, 39)
Tree;(5, 0)
Tree;(5, 1)
Tree;(5, 2)
Tree;(5, 3)
Herb;(5, 4)
Herb;(5, 5)
Herb;(5, 6)
Herb;(5, 7)
Herb;(5, 8)
Herb;(5, 9)
Herb;(5, 10)
Herb;(5, 11)
Herb;(5, 12)
Herb;(5, 13)
Herb;(5, 14)
Herb;(5, 15)
Herb;(5, 16)
Herb;(5, 17)
Herb;(5, 18)
Water;(5, 19)
Water;(5, 20)
Water;(5, 21)
Water;(5, 22)
Water;(5, 23)
Water;(5, 24)
Herb;(5, 25)
Herb;(5, 26)
Herb;(5, 27)
Herb;(5, 28)
Herb;(5, 29)
Tree;(5, 30)
Tree;(5, 31)
Tree;(5, 32)
Tree;(5, 33)
Tree;(5, 34)
Tree;(5, 35)
Tree;(5, 36)
Tree;(5, 37)
Tree;(5, 38)
Herb;(5, 39)
Tree;(6, 0)
Tree;(6, 1)
Tree;(6, 2)
Tree;(6, 3)
Herb;(6, 4)
Herb;(6, 5)
Herb;(6, 6)
Herb;(6, 7)
Herb;(6, 8)
Herb;(6, 9)
Herb;(6, 10)
Herb;(6, 11)
Herb;(6, 12)
Herb;(6, 13)
Herb;(6, 14)
Herb;(6, 15)
Herb;(6, 16)
Herb;(6, 17)
Herb;(6, 18)
Herb;(6, 19)
Water;(6, 20)
Water;(6, 21)
Water;(6, 22)
Water;(6, 23)
Water;(6, 24)
Water;(6, 25)
Water;(6, 26)
Water;(6, 27)
Water;(6, 28)
Water;(6, 29)
Herb;(6, 30)
Herb;(6, 31)
Tree;(6, 32)
Tree;(6, 33)
Herb;(6, 34)
Tree;(6, 35)
Tree;(6, 36)
Tree;(6, 37)
Tree;(6, 38)
Herb;(6, 39)
Tree;(7, 0)
Tree;(7, 1)
Tree;(7, 2)
Tree;(7, 3)
Herb;(7, 4)
Herb;(7, 5)
Herb;(7, 6)
Herb;(7, 7)
Herb;(7, 8)
Herb;(7, 9)
Herb;(7, 10)
Herb;(7, 11)
Herb;(7, 12)
Herb;(7, 13)
Herb;(7, 14)
Herb;(7, 15)
Herb;(7, 16)
Herb;(7, 17)
Herb;(7, 18)
Herb;(7, 19)
Herb;(7, 20)
Water;(7, 21)
Water;(7, 22)
Water;(7, 23)
Water;(7, 24)
Water;(7, 25)
Water;(7, 26)
Water;(7, 27)
Water;(7, 28)
Water;(7, 29)
Water;(7, 30)
Herb;(7, 31)
Tree;(7, 32)
Tree;(7, 33)
Tree;(7, 34)
Tree;(7, 35)
Tree;(7, 36)
Tree;(7, 37)
Tree;(7, 38)
Herb;(7, 39)
Tree;(8, 0)
Tree;(8, 1)
Tree;(8, 2)
Tree;(8, 3)
Herb;(8, 4)
Herb;(8, 5)
Herb;(8, 6)
Herb;(8, 7)
Herb;(8, 8)
Herb;(8, 9)
Herb;(8, 10)
Herb;(8, 11)
Herb;(8, 12)
Herb;(8, 13)
Herb;(8, 14)
Herb;(8, 15)
Herb;(8, 16)
Herb;(8, 17)
Herb;(8, 18)
Herb;(8, 19)
Herb;(8, 20)
Herb;(8, 21)
Water;(8, 22)
Water;(8, 23)
Water;(8, 24)
Water;(8, 25)
Water;(8, 26)
Water;(8, 27)
Water;(8, 28)
Water;(8, 29)
Water;(8, 30)
Water;(8, 31)
Herb;(8, 32)
Tree;(8, 33)
Tree;(8, 34)
Tree;(8, 35)
Tree;(8, 36)
Tree;(8, 37)
Tree;(8, 38)
Herb;(8, 39)
Tree;(9, 0)
Tree;(9, 1)
Tree;(9, 2)
Tree;(9, 3)
Herb;(9, 4)
Herb;(9, 5)
Herb;(9, 6)
Herb;(9, 7)
Herb;(9, 8)
Herb;(9, 9)
Herb;(9, 10)
Herb;(9, 11)
Herb;(9, 12)
Herb;(9, 13)
Herb;(9, 14)
Herb;(9, 15)
Herb;(9, 16)
Herb;(9, 17)
Herb;(9, 18)
Herb;(9, 19)
Herb;(9, 20)
Herb;(9, 21)
Herb;(9, 22)
Water;(9, 23)
Water;(9, 24)
Water;(9, 25)
Water;(9, 26)
Water;(9, 27)
Water;(9, 28)
Water;(9, 29)
Water;(9, 30)
Water;(9, 31)
Herb;(9, 32)
Water;(9, 33)
Water;(9, 34)
Herb;(9, 35)
Tree;(9, 36)
Tree;(9, 37)
Tree;(9, 38)
Herb;(9, 39)
Tree;(10, 0)
Tree;(10, 1)
Tree;(10, 2)
Tree;(10, 3)
Herb;(10, 4)
Herb;(10, 5)
Herb;(10, 6)
Herb;(10, 7)
Herb;(10, 8)
Herb;(10, 9)
Herb;(10, 10)
Herb;(10, 11)
Herb;(10, 12)
Herb;(10, 13)
Herb;(10, 14)
Herb;(10, 15)
Herb;(10, 16)
Herb;(10, 17)
Herb;(10, 18)
Herb;(10, 19)
Herb;(10, 20)
Herb;(10, 21)
Herb;(10, 22)
Herb;(10, 23)
Water;(10, 24)
Water;(10, 25)
Water;(10, 26)
Water;(10, 27)
Water;(10, 28)
Water;(10, 29)
Water;(10, 30)
Water;(10, 31)
Water;(10, 32)
Water;(10, 33)
Water;(10, 34)
Herb;(10, 35)
Tree;(10, 36)
Tree;(10, 37)
Tree;(10, 38)
Herb;(10, 39)
Tree;(11, 0)
Tree;(11, 1)
Tree;(11, 2)
Tree;(11, 3)
Herb;(11, 4)
Herb;(11, 5)
Herb;(11, 6)
Herb;(11, 7)
Herb;(11, 8)
Herb;(11, 9)
Herb;(11, 10)
Herb;(11, 11)
Herb;(11, 12)
Herb;(11, 13)
Herb;(11, 14)
Herb;(11, 15)
Herb;(11, 16)
Herb;(11, 17)
Herb;(11, 18)
Herb;(11, 19)
Herb;(11, 20)
Herb;(11, 21)
Herb;(11, 22)
Herb;(11, 23)
Herb;(11, 24)
Water;(11, 25)
Water;(11, 26)
Water;(11, 27)
Water;(11, 28)
Water;(11, 29)
Water;(11, 30)
Water;(11, 31)
Water;(11, 32)
Water;(11, 33)
Water;(11, 34)
Water;(11, 35)
Tree;(11, 36)
Tree;(11, 37)
Tree;(11, 38)
Herb;(11, 39)
Tree;(12, 0)
Tree;(12, 1)
Tree;(12, 2)
Tree;(12, 3)
Herb;(12, 4)
Herb;(12, 5)
Herb;(12, 6)
Herb;(12, 7)
Herb;(12, 8)
Herb;(12, 9)
Herb;(12, 10)
Herb;(12, 11)
Herb;(12, 12)
Herb;(12, 13)
Herb;(12, 14)
Herb;(12, 15)
Herb;(12, 16)
Herb;(12, 17)
Herb;(12, 18)
Herb;(12, 19)
Herb;(12, 20)
Herb;(12, 21)
Herb;(12, 22)
Herb;(12, 23)
Herb;(12, 24)
Herb;(12, 25)
Herb;(12, 26)
Herb;(12, 27)
Herb;(12, 28)
Herb;(12, 29)
Water;(12, 30)
Water;(12, 31)
Water;(12, 32)
Water;(12, 33)
Water;(12, 34)
Water;(12, 35)
Water;(12, 36)
Tree;(12, 37)
Water;(12, 38)
Tree;(12, 39)
Tree;(13, 0)
Tree;(13, 1)
Tree;(13, 2)
Tree;(13, 3)
Herb;(13, 4)
Herb;(13, 5)
Herb;(13, 6)
Herb;(13, 7)
Herb;(13, 8)
Herb;(13, 9)
Herb;(13, 10)
Herb;(13, 11)
Herb;(13, 12)
Herb;(13, 13)
Herb;(13, 14)
Herb;(13, 15)
Herb;(13, 16)
Herb;(13, 17)
Herb;(13, 18)
Herb;(13, 19)
Herb;(13, 20)
Herb;(13, 21)
Herb;(13, 22)
Herb;(13, 23)
Herb;(13, 24)
Herb;(13, 25)
Herb;(13, 26)
Herb;(13, 27)
Herb;(13, 28)
Herb;(13, 29)
Herb;(13, 30)
Herb;(13, 31)
Water;(13, 32)
Water;(13, 33)
Water;(13, 34)
Water;(13, 35)
Water;(13, 36)
Water;(13, 37)
Water;(13, 38)
Water;(13, 39)
Tree;(14, 0)
Tree;(14, 1)
Tree;(14, 2)
Tree;(14, 3)
Herb;(14, 4)
Herb;(14, 5)
Herb;(14, 6)
Herb;(14, 7)
Herb;(14, 8)
Herb;(14, 9)
Herb;(14, 10)
Herb;(14, 11)
Herb;(14, 12)
Herb;(14, 13)
Herb;(14, 14)
Herb;(14, 15)
Herb;(14, 16)
Herb;(14, 17)
Herb;(14, 18)
Herb;(14, 19)
Herb;(14, 20)
Herb;(14, 21)
Herb;(14, 22)
Herb;(14, 23)
Herb;(14, 24)
Herb;(14, 25)
Herb;(14, 26)
Herb;(14, 27)
Herb;(14, 28)
Herb;(14, 29)
Herb;(14, 30)
Herb;(14, 31)
Tree;(14, 32)
Tree;(14, 33)
Water;(14, 34)
Water;(14, 35)
Water;(14, 36)
Water;(14, 37)
Water;(14, 38)
Water;(14, 39)
Tree;(15, 0)
Tree;(15, 1)
Tree;(15, 2)
Tree;(15, 3)
Herb;(15, 4)
Herb;(15, 5)
Herb;(15, 6)
Herb;(15, 7)
Herb;(15, 8)
Herb;(15, 9)
Herb;(15, 10)
Herb;(15, 11)
Herb;(15, 12)
Herb;(15, 13)
Herb;(15, 14)
Herb;(15, 15)
Herb;(15, 16)
Herb;(15, 17)
Herb;(15, 18)
Herb;(15, 19)
Herb;(15, 20)
Herb;(15, 21)
Herb;(15, 22)
Herb;(15, 23)
Herb;(15, 24)
Herb;(15, 25)
Herb;(15, 26)
Herb;(15, 27)
Herb;(15, 28)
Herb;(15, 29)
Tree;(15, 30)
Herb;(15, 31)
Herb;(15, 32)
Tree;(15, 33)
Tree;(15, 34)
Tree;(15, 35)
Water;(15, 36)
Water;(15, 37)
Water;(15, 38)
Water;(15, 39)
Tree;(16, 0)
Tree;(16, 1)
Tree;(16, 2)
Tree;(16, 3)
Herb;(16, 4)
Herb;(16, 5)
Herb;(16, 6)
Herb;(16, 7)
Herb;(16, 8)
Herb;(16, 9)
Herb;(16, 10)
Herb;(16, 11)
Herb;(16, 12)
Herb;(16, 13)
Herb;(16, 14)
Herb;(16, 15)
Herb;(16, 16)
Herb;(16, 17)
Herb;(16, 18)
Herb;(16, 19)
Herb;(16, 20)
Herb;(16, 21)
Herb;(16, 22)
Herb;(16, 23)
Herb;(16, 24)
Herb;(16, 25)
Herb;(16, 26)
Herb;(16, 27)
Herb;(16, 28)
Herb;(16, 29)
Tree;(16, 30)
Tree;(16, 31)
Tree;(16, 32)
Tree;(16, 33)
Tree;(16, 34)
Herb;(16, 35)
Tree;(16, 36)
Tree;(16, 37)
Water;(16, 38)
Water;(16, 39)
Herb;(17, 0)
Herb;(17, 1)
Tree;(17, 2)
Tree;(17, 3)
Herb;(17, 4)
Herb;(17, 5)
Herb;(17, 6)
Herb;(17, 7)
Herb;(17, 8)
Herb;(17, 9)
Herb;(17, 10)
Herb;(17, 11)
Herb;(17, 12)
Herb;(17, 13)
Herb;(17, 14)
Herb;(17, 15)
Herb;(17, 16)
Herb;(17, 17)
Herb;(17, 18)
Herb;(17, 19)
Herb;(17, 20)
Herb;(17, 21)
Herb;(17, 22)
Herb;(17, 23)
Herb;(17, 24)
Herb;(17, 25)
Herb;(17, 26)
Herb;(17, 27)
Herb;(17, 28)
Herb;(17, 29)
Tree;(17, 30)
Tree;(17, 31)
Tree;(17, 32)
Tree;(17, 33)
Herb;(17, 34)
Herb;(17, 35)
Herb;(17, 36)
Herb;(17, 37)
Herb;(17, 38)
Tree;(17, 39)
Herb;(18, 0)
Herb;(18, 1)
Herb;(18, 2)
Herb;(18, 3)
Herb;(18, 4)
Herb;(18, 5)
Herb;(18, 6)
Herb;(18, 7)
Herb;(18, 8)
Herb;(18, 9)
Herb;(18, 10)
Herb;(18, 11)
Herb;(18, 12)
Herb;(18, 13)
Herb;(18, 14)
Herb;(18, 15)
Herb;(18, 16)
Herb;(18, 17)
Herb;(18, 18)
Herb;(18, 19)
Herb;(18, 20)
Herb;(18, 21)
Herb;(18, 22)
Herb;(18, 23)
Herb;(18, 24)
Herb;(18, 25)
Herb;(18, 26)
Herb;(18, 27)
Herb;(18, 28)
Herb;(18, 29)
Tree;(18, 30)
Tree;(18, 31)
Tree;(18, 32)
Tree;(18, 33)
Herb;(18, 34)
Tree;(18, 35)
Tree;(18, 36)
Tree;(18, 37)
Tree;(18, 38)
Tree;(18, 39)
Herb;(19, 0)
Herb;(19, 1)
Herb;(19, 2)
Herb;(19, 3)
Herb;(19, 4)
Herb;(19, 5)
Herb;(19, 6)
Herb;(19, 7)
Herb;(19, 8)
Herb;(19, 9)
Herb;(19, 10)
Herb;(19, 11)
Herb;(19, 12)
Herb;(19, 13)
Herb;(19, 14)
Herb;(19, 15)
Herb;(19, 16)
Herb;(19, 17)
Herb;(19, 18)
Herb;(19, 19)
Herb;(19, 20)
Herb;(19, 21)
Herb;(19, 22)
Herb;(19, 23)
Herb;(19, 24)
Herb;(19, 25)
Herb;(19, 26)
Herb;(19, 27)
Herb;(19, 28)
Herb;(19, 29)
Herb;(19, 30)
Herb;(19, 31)
Herb;(19, 32)
Herb;(19, 33)
Herb;(19, 34)
Herb;(19, 35)
Herb;(19, 36)
Herb;(19, 37)
Herb;(19, 38)
Herb;(19, 39)
Enter_Pannel;(20, 0)
Herb;(20, 1)
Herb;(20, 2)
Herb;(20, 3)
Herb;(20, 4)
Herb;(20, 5)
Herb;(20, 6)
Herb;(20, 7)
Herb;(20, 8)
Herb;(20, 9)
Herb;(20, 10)
Herb;(20, 11)
Herb;(20, 12)
Herb;(20, 13)
Herb;(20, 14)
Herb;(20, 15)
Herb;(20, 16)
Herb;(20, 17)
Herb;(20, 18)
Herb;(20, 19)
Herb;(20, 20)
Herb;(20, 21)
Herb;(20, 22)
Herb;(20, 23)
Herb;(20, 24)
Herb;(20, 25)
Herb;(20, 26)
Herb;(20, 27)
Herb;(20, 28)
Herb;(20, 29)
Herb;(20, 30)
Herb;(20, 31)
Herb;(20, 32)
Herb;(20, 33)
Herb;(20, 34)
Herb;(20, 35)
Herb;(20, 36)
Herb;(20, 37)
Exit_Pannel;(20, 38)
Herb;(20, 39)
Path;(21, 0)
Path;(21, 1)
Path;(21, 2)
Path;(21, 3)
Herb;(21, 4)
Herb;(21, 5)
Herb;(21, 6)
Herb;(21, 7)
Herb;(21, 8)
Herb;(21, 9)
Herb;(21, 10)
Herb;(21, 11)
Herb;(21, 12)
Herb;(21, 13)
Herb;(21, 14)
Herb;(21, 15)
Herb;(21, 16)
Herb;(21, 17)
Herb;(21, 18)
Herb;(21, 19)
Herb;(21, 20)
Herb;(21, 21)
Herb;(21, 22)
Herb;(21, 23)
Herb;(21, 24)
Herb;(21, 25)
Herb;(21, 26)
Herb;(21, 27)
Herb;(21, 28)
Herb;(21, 29)
Path;(21, 30)
Path;(21, 31)
Path;(21, 32)
Path;(21, 33)
Path;(21, 34)
Path;(21, 35)
Path;(21, 36)
Path;(21, 37)
Path;(21, 38)
Path;(21, 39)
Herb;(22, 0)
Herb;(22, 1)
Herb;(22, 2)
Herb;(22, 3)
Herb;(22, 4)
Herb;(22, 5)
Herb;(22, 6)
Herb;(22, 7)
Herb;(22, 8)
Herb;(22, 9)
Herb;(22, 10)
Herb;(22, 11)
Herb;(22, 12)
Herb;(22, 13)
Herb;(22, 14)
Herb;(22, 15)
Herb;(22, 16)
Herb;(22, 17)
Herb;(22, 18)
Herb;(22, 19)
Herb;(22, 20)
Herb;(22, 21)
Herb;(22, 22)
Herb;(22, 23)
Herb;(22, 24)
Herb;(22, 25)
Herb;(22, 26)
Herb;(22, 27)
Herb;(22, 28)
Herb;(22, 29)
Herb;(22, 30)
Herb;(22, 31)
Herb;(22, 32)
Herb;(22, 33)
Herb;(22, 34)
